epoch,train_loss,loss,ap,roc_auc,balanced_accuracy_05,closed_precision_05,closed_recall_05,closed_f1_05,backbone_lr,classifier_lr
1,0.34559078185765213,0.4214437567406779,0.6990446238519893,0.902944444988664,0.8188190002253068,0.590625,0.6774193548387096,0.6310517529215359,3e-05,0.0003
2,0.11460631887264629,0.3016659844195322,0.8387318580509724,0.9531220237998056,0.8690558989580375,0.813953488372093,0.7526881720430108,0.7821229050279329,3e-05,0.0003
3,0.06540756216173751,0.2624368199709415,0.8782332239061222,0.9729582790474418,0.8796866819701179,0.8531746031746031,0.7706093189964157,0.8097928436911488,3e-05,0.0003
4,0.04953737027388959,0.28504293611375375,0.8817478723934392,0.9749474011887929,0.8743103378840964,0.8514056224899599,0.7598566308243727,0.803030303030303,3e-05,0.0003
5,0.035374177653791104,0.3512983125241313,0.8761433919378941,0.9658202965560704,0.8722444807983046,0.8860759493670886,0.7526881720430108,0.813953488372093,3e-05,0.0003
6,0.035537709753164295,0.3002518811424796,0.9007678555505568,0.9797327229367824,0.8771653131928594,0.8765432098765432,0.7634408602150538,0.8160919540229885,3e-05,0.0003
7,0.024817595513864095,0.341237507952421,0.898191847371079,0.9771226463868726,0.874188432724134,0.890295358649789,0.7562724014336918,0.8178294573643411,3e-05,0.0003
8,0.024088785696638377,0.3294059297973071,0.8999434682360983,0.9794018375025986,0.8775908928137997,0.8458498023715415,0.7670250896057348,0.8045112781954887,1.5e-05,0.00015
9,0.01890754214968475,0.3468106370356689,0.9005490936510667,0.9786154403769481,0.8791092651186888,0.8806584362139918,0.7670250896057348,0.8199233716475096,1.5e-05,0.00015
10,0.016436641539997885,0.38129712499402807,0.8962519539071014,0.9772206058904138,0.8753731984975188,0.8760330578512396,0.7598566308243727,0.8138195777351248,7.5e-06,7.5e-05
